symbol,shares,cost_price,cost_currency,purchase_date,memo,next_earnings,div_yield,buyback_yield,total_return,beta,role
1925.T,100,4946.65,JPY,,,,3.4,1.5,4.9,0.34,長期インカム
2220.T,300,1439.25,JPY,,,,1.5,0.0,1.5,-0.11,長期インカム
4540.T,100,4074.75,JPY,,,,3.9,1.0,4.9,0.05,長期インカム
7751.T,100,4784.45,JPY,,,,3.6,3.5,7.1,0.3,長期インカム
9856.T,100,1301.15,JPY,,,,6.5,0.0,6.5,0.69,長期インカム（要注視）
AMZN,10,207.0095,USD,,,,0.0,0.0,0.0,1.38,グロース
NFLX,30,98.1593,USD,,,,0.0,0.0,0.0,1.67,グロース
GLDM,44,100.2893,USD,,,,0.0,0.0,0.0,,ヘッジ
NVDA,10,190.09,USD,,,,0.0,0.0,0.0,2.33,グロース
USB,10,56.437,USD,,,,3.6,3.0,6.6,1.03,長期インカム
JEPI,93,57.5985,USD,,,,8.4,0.0,8.4,,長期インカム
CEG,7,290.9314,USD,,,,0.6,0.5,1.1,1.19,グロース
DEC,10,16.079,USD,,,,7.5,0.5,8.0,0.43,長期インカム
AUTO.JK,12700,2840.0,IDR,,,,6.8,0.0,6.8,0.14,長期インカム
Z74.SI,800,4.9943,SGD,,,,2.7,0.0,2.7,0.32,長期インカム
